Subject,COV,Met_Pwr
"""04""",2.3,4.28
"""04""",3.62,4.14
"""04""",3.05,4.24
"""04""",7.35,4.3
"""05""",2.5,3.92
"""05""",2.96,4.07
"""05""",5.33,4.14
"""05""",6.84,4.29
"""06""",2.7,4
"""06""",2.8,3.94
"""06""",3.71,4.04
"""06""",7.12,4.06
"""07""",2.87,4.05
"""07""",4.24,4.06
"""07""",10.99,4.22
"""07""",9.8,4.13
"""08""",2.02,4.25
"""08""",2.88,4.05
"""08""",6.6,4.29
"""08""",7.44,4.51
"""09""",2.75,3.36
"""09""",2.52,3.71
"""09""",3.72,3.56
"""09""",4.92,3.84
"""10""",2.13,4.04
"""10""",4.04,4.32
"""10""",6.12,4.19
"""10""",7.16,4.5
"""11""",2.02,3.96
"""11""",2.27,4.05
"""11""",3.46,4.14
"""11""",7.65,4.19
"""12""",2.03,3.46
"""12""",3.43,3.96
"""12""",3.98,3.86
"""12""",6.68,4
"""13""",1.92,4.07
"""13""",2.84,4.23
"""13""",4.75,4.41
"""13""",6.82,4.54
"""14""",2.12,3.94
"""14""",3.06,4.26
"""14""",4.45,4.47
"""14""",7.38,4.03
"""16""",3.09,4.36
"""16""",3.84,4.47
"""16""",5.57,4.51
"""16""",7.62,4.48
"""17""",1.5,4.25
"""17""",2.69,4.21
"""17""",3.41,4.63
"""17""",5.9,4.57
"""18""",3.33,4.03
"""18""",2.06,4.21
"""18""",3.73,4.16
"""18""",6.03,4.26
"""19""",3.28,3.85
"""19""",3.32,4.15
"""19""",3.89,4.12
"""19""",5.9,4.18
"""20""",2.77,3.8
"""20""",3.2,4.1
"""20""",4.53,4.29
"""20""",7.92,4.42
"""21""",2.64,4.2
"""21""",3.08,4.38
"""21""",4.63,4.71
"""21""",8.86,4.53
"""22""",1.58,3.93
"""22""",3.09,4.32
"""22""",3.15,4.51
"""22""",5.16,4.56
